sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Baker County,41001,-1,-1,266,-1,5,21,2.0,520,266,328,11.3,5.8,9,48,23,12,9,21,11,65,28,91,67,14,20,73,29,58,34,28,5,45,23,27,2,6,0,3,0,3,29,58,76,0,35,38,26,26,5,15,54,-1,-1,-1,-1,-1,OR,-1,-1,baker or,94,6,94,0,0
9,1,All HUD,-1,Benton County,41003,-1,-1,889,-1,4,16,2.0,1786,281,448,11.6,5.8,10,43,25,12,10,23,12,63,21,99,82,11,29,75,35,54,41,28,6,54,18,22,3,11,2,2,2,5,15,61,73,17,40,37,23,16,17,21,33,-1,-1,-1,-1,-1,OR,-1,-1,benton or,89,11,89,0,0
9,1,All HUD,-1,Clackamas County,41005,-1,-1,2499,-1,4,15,2.2,5502,288,493,12.5,5.7,13,40,23,12,13,24,6,63,21,98,80,13,31,77,39,44,30,21,5,54,16,25,3,10,3,2,1,4,52,65,93,47,33,40,27,15,12,9,53,-1,-1,-1,-1,-1,OR,-1,-1,clackamas or,90,10,90,0,0
9,1,All HUD,-1,Clatsop County,41007,-1,-1,549,-1,5,13,1.6,897,259,381,10.7,6.6,10,47,27,10,6,20,6,70,25,97,73,8,17,72,22,60,35,33,3,38,28,32,2,5,1,1,1,2,17,56,66,33,60,28,11,9,11,16,46,-1,-1,-1,-1,-1,OR,-1,-1,clatsop or,95,5,95,0,0
9,1,All HUD,-1,Columbia County,41009,-1,-1,517,-1,4,13,2.1,1094,287,484,11.6,5.5,13,37,27,13,10,25,12,59,20,99,83,14,29,80,39,41,41,21,4,57,15,24,3,4,0,0,0,3,17,45,92,0,37,40,23,16,7,10,53,-1,-1,-1,-1,-1,OR,-1,-1,columbia or,96,4,96,0,0
9,1,All HUD,-1,Coos County,41011,-1,-1,978,-1,5,17,1.9,1868,257,347,10.7,5.6,9,50,24,11,7,22,10,65,27,94,66,12,24,74,31,45,42,26,9,43,19,29,3,7,1,2,1,3,10,55,81,37,43,39,17,14,10,16,49,-1,-1,-1,-1,-1,OR,-1,-1,coos or,93,7,93,0,0
9,1,All HUD,-1,Crook County,41013,-1,-1,146,-1,6,34,2.1,302,237,395,10.2,5.0,13,49,23,9,6,19,10,65,24,97,71,12,33,77,42,43,35,21,9,49,19,23,4,5,0,4,0,1,3,40,76,32,41,29,30,16,9,11,51,-1,-1,-1,-1,-1,OR,-1,-1,crook or,95,5,95,0,0
9,1,All HUD,-1,Curry County,41015,-1,-1,152,-1,5,15,1.5,235,270,307,10.9,7.1,4,55,26,11,5,11,5,82,29,93,65,4,15,74,18,67,27,35,5,35,21,39,2,3,1,1,1,1,7,51,72,9,47,39,14,28,6,7,32,-1,-1,-1,-1,-1,OR,-1,-1,curry or,97,3,97,0,0
9,1,All HUD,-1,Deschutes County,41017,-1,-1,1343,-1,5,32,2.0,2723,263,479,11.4,5.7,15,38,27,12,8,27,8,58,23,97,76,12,29,79,37,44,39,24,7,50,15,27,4,5,1,1,1,2,4,47,91,24,35,37,28,20,8,11,52,-1,-1,-1,-1,-1,OR,-1,-1,deschutes or,95,5,95,0,0
9,1,All HUD,-1,Douglas County,41019,-1,-1,1127,-1,6,17,1.9,2091,247,334,10.7,5.8,7,48,29,11,4,19,6,72,27,96,63,10,22,76,30,46,27,22,7,40,16,37,4,3,0,1,0,2,18,52,86,30,51,32,18,14,7,14,44,-1,-1,-1,-1,-1,OR,-1,-1,douglas or,97,3,97,0,0
